COD;MUN.DIS;MUN;PROV;N2019;N2018;N2017;N2016;N2015;M2019;M2018;M2017;M2016;M2015
25001;Abella de la Conca;Abella de la Conca;Lleida;1;2;1;;;;;;;
8001;Abrera;Abrera;Barcelona;139;165;157;175;165;655.76;687.25;613.69;603.94;558.08
25002;Àger;Àger;Lleida;5;5;4;5;2;;;;;
25003;Agramunt;Agramunt;Lleida;77;8;61;67;52;341.2;328.07;305.25;312.17;318.06
8002;Aguilar de Segarra;Aguilar de Segarra;Barcelona;3;4;2;4;5;;;;;
17001;Agullana;Agullana;Girona;14;18;18;17;3;438.93;462.78;431.44;463.82;349
8014;Aiguafreda;Aiguafreda;Barcelona;79;65;67;6;53;505.19;522.56;470.31;443.05;418.13
43001;Aiguamúrcia;Aiguamúrcia;Tarragona;13;11;9;8;8;458.08;384.09;400.4;386.29;445
17002;Aiguaviva;Aiguaviva;Girona;6;2;2;6;2;;;;708.33;
25038;Aitona;Aitona;Lleida;5;7;13;11;18;469.58;324.29;352.08;325.91;356.02
25004;Alamús, els;Alamús, els;Lleida;12;5;9;11;1;;;373.33;352.16;333.5
25005;Alàs i Cerc;Alàs i Cerc;Lleida;1;;;;;;;;;
25006;Albagés, l';Albagés, l';Lleida;1;;1;;;;;;;
17003;Albanyà;Albanyà;Girona;2;;1;1;1;353.25;;;;
25007;Albatàrrec;Albatàrrec;Lleida;26;28;32;33;32;365.83;362.86;344.21;308.64;331.56
25008;Albesa;Albesa;Lleida;12;4;1;5;;;;327.5;;
25009;Albi, l';Albi, l';Lleida;1;1;;1;2;536.94;;;;
43002;Albinyana;Albinyana;Tarragona;18;21;18;17;19;;531.9;514.17;477.06;419.48
43003;Albiol, l';Albiol, l';Tarragona;1;1;3;;;721.11;;;;
17004;Albons;Albons;Girona;9;7;14;12;11;375.15;612.61;634.14;823.5;665.91
43004;Alcanar;Alcanar;Tarragona;9;96;96;61;58;;351.8;348.85;301.51;303.78
25010;Alcanó;Alcanó;Lleida;;;1;;;393.38;;;;
25011;Alcarràs;Alcarràs;Lleida;12;13;145;145;111;387.72;372.41;350.75;340.11;333.85
25012;Alcoletge;Alcoletge;Lleida;41;38;41;7;62;428.94;376.43;375.43;340.37;342.27
43005;Alcover;Alcover;Tarragona;49;36;51;29;37;300.34;394.6;419.6;439.67;377.03
43904;Aldea, l';Aldea, l';Tarragona;59;72;52;61;42;268.33;297.78;279.53;281.79;250.83
43006;Aldover;Aldover;Tarragona;6;1;2;5;3;411.38;302;;;
43007;Aleixar, l';Aleixar, l';Tarragona;9;5;13;1;4;1219.85;;34;376;
8003;Alella;Alella;Barcelona;16;167;169;128;136;;1071.34;1121.66;1025.99;1029.76
43008;Alfara de Carles;Alfara de Carles;Tarragona;1;;2;2;;344.71;;;;
25013;Alfarràs;Alfarràs;Lleida;17;16;11;15;18;;328.13;258.59;282.4;288.55
25014;Alfés;Alfés;Lleida;;4;2;;3;367.73;;;;
43009;Alforja;Alforja;Tarragona;11;2;8;1;2;;386.75;352.5;383.07;314.29
25015;Algerri;Algerri;Lleida;1;;2;2;;331.21;;;;
