COD;PROV;N2018;N2017;N2016;N2015;M2018;M2017;M2016;M2015
25001;Lleida;2;1;0;0;0;0;0;0
8001;Barcelona;165;157;175;165;687,25;613,69;603,94;558,08
25002;Lleida;5;4;5;2;0;0;0;0
25003;Lleida;80;61;67;52;328,07;305,25;312,17;318,06
8002;Barcelona;4;2;4;5;0;0;0;0
17001;Girona;18;18;17;30;462,78;431,44;463,82;349
8014;Barcelona;65;67;60;53;522,56;470,31;443,05;418,13
43001;Tarragona;11;9;8;8;384,09;400,4;386,29;445
17002;Girona;2;2;6;2;0;0;708,33;0
25038;Lleida;7;13;11;18;324,29;352,08;325,91;356,02
25004;Lleida;5;9;11;10;0;373,33;352,16;333,5
25005;Lleida;0;0;0;0;0;0;0;0
25006;Lleida;0;1;0;0;0;0;0;0
17003;Girona;0;1;1;1;0;0;0;0
25007;Lleida;28;32;33;32;362,86;344,21;308,64;331,56
25008;Lleida;4;10;5;0;0;327,5;0;0
25009;Lleida;1;0;1;2;0;0;0;0
43002;Tarragona;21;18;17;19;531,9;514,17;477,06;419,48
43003;Tarragona;1;3;0;0;0;0;0;0
17004;Girona;7;14;12;11;612,61;634,14;823,5;665,91
43004;Tarragona;96;96;61;58;351,8;348,85;301,51;303,78
25010;Lleida;0;1;0;0;0;0;0;0
25011;Lleida;130;145;145;111;372,41;350,75;340,11;333,85
25012;Lleida;38;41;70;62;376,43;375,43;340,37;342,27
43005;Tarragona;36;51;29;37;394,6;419,6;439,67;377,03
43904;Tarragona;72;52;61;42;297,78;279,53;281,79;250,83
43006;Tarragona;10;2;5;3;302;0;0;0
43007;Tarragona;5;13;10;4;0;340;376;0
8003;Barcelona;167;169;128;136;1071,34;1121,66;1025,99;1029,76
43008;Tarragona;0;2;2;0;0;0;0;0
25013;Lleida;16;11;15;18;328,13;258,59;282,4;288,55
25014;Lleida;4;2;0;3;0;0;0;0
43009;Tarragona;20;8;10;20;386,75;352,5;383,07;314,29
25015;Lleida;0;2;2;0;0;0;0;0
25016;Lleida;18;14;20;16;309,44;305,82;319,36;314,28
25017;Lleida;0;1;2;0;0;0;0;0
43010;Tarragona;4;8;3;2;0;413,75;0;0
25019;Lleida;65;60;78;62;326,85;317,25;303,76;303,06
25020;Lleida;0;1;0;0;0;0;0;0
25021;Lleida;25;15;16;10;347,6;310;335,63;368,5
43011;Tarragona;5;3;6;4;0;0;511,67;0
25022;Lleida;0;0;0;1;0;0;0;0
17006;Girona;54;47;32;30;452,39;448,72;476,66;432,47
8004;Barcelona;6;4;0;2;338,33;0;0;0
25023;Lleida;44;30;29;27;514,97;499,83;468,62;430,19
25024;Lleida;2;3;1;1;0;0;0;0
43012;Tarragona;127;117;99;100;592,88;600,21;562,62;533,6
17007;Girona;20;32;25;18;404,25;418,69;349,2;370
43013;Tarragona;64;80;69;70;356,76;366,58;397,29;357,98
8005;Barcelona;109;103;84;78;950,23;917,33;851,81;808,97
43906;Tarragona;56;75;68;38;395,89;379,2;359,69;345,32
43014;Tarragona;274;287;224;258;312,28;292,59;304,01;272,59
17008;Girona;100;104;121;102;413,15;391,11;353,31;357,88
25027;Lleida;13;10;9;10;378,26;289,59;330,56;260
25029;Lleida;12;10;4;8;266,25;260;0;288,12
43016;Tarragona;82;104;97;81;400,74;376,8;344,73;335,57
43015;Tarragona;1;3;1;1;0;0;0;0
17009;Girona;162;148;172;143;382,68;347,1;337,92;306,29
8006;Barcelona;353;319;340;359;636,02;573,18;551,53;545,76
8007;Barcelona;172;181;196;178;607,09;568,35;509,56;519,83
17010;Girona;6;3;4;3;488,33;0;0;0
8008;Barcelona;1;0;0;0;0;0;0;0
43017;Tarragona;0;0;0;2;0;0;0;0
